faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,10.292873000000327,0.5058649000002333,[-0.09537037037037037],[0.0712962962962963],[1],[0],[0],[1.4812404999997852],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
,,,,,,,,,,,,,,12.323423900000307,12.323423900000307,12.323423900000307,12.323423900000307,12.323423900000307,0.00132469999971363,2.6185185185185187,0.09083570000029795,None,None,[0.725925925925926],[-0.38796296296296295],[1],[0],[0],[4.989471700000195],['image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.280438499999946,0.505395099999987,-0.013888888888888888,-0.18518518518518517,1,0,0,instrBlock,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.133968900000127,21.42367490000015,21.42367490000015,21.42367490000015,21.42367490000015,21.42367490000015,0.3075254999998833,50.55555555555556,1.9648449999999684,0.025925925925925925,-0.3962962962962963,1,0,0,NextBu,51.75925925925926,2.719955099999879,0.9083832790786401,24.746425300000283,25.659653000000162,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_035_M_F_N_A.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.659653000000162,25.95773350000036,25.95773350000036,25.95773350000036,25.95773350000036,25.95773350000036,0.30730080000012094,52.22222222222223,1.0926644999999553,0.004629629629629629,-0.3972222222222222,1,0,0,NextBu,52.77777777777778,1.8026166999998168,0.8846416353536444,28.475824600000124,29.367590100000143,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_087_M_M_N_A.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.367590100000143,29.664841799999977,29.664841799999977,29.664841799999977,29.664841799999977,29.664841799999977,0.30612120000023424,52.31481481481482,1.112000199999784,0.028703703703703703,-0.40185185185185185,1,0,0,NextBu,52.03703703703704,1.9370527000000948,0.6149142023066858,32.21486660000028,32.83308320000015,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_136_M_M_N_A.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.83308320000015,33.131567800000084,33.131567800000084,33.131567800000084,33.131567800000084,33.131567800000084,0.307036799999878,53.51851851851852,1.1981023000003006,0.02962962962962963,-0.4009259259259259,1,0,0,NextBu,52.77777777777778,1.9030189000000064,0.6216948110098732,35.80907700000034,36.43783940000003,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_AF_231_357_N.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.43783940000003,36.73744179999994,36.73744179999994,36.73744179999994,36.73744179999994,36.73744179999994,0.30974620000006325,50.83333333333333,0.9630412000001343,0.022222222222222223,-0.4074074074074074,1,0,0,NextBu,54.074074074074076,1.65932950000024,0.8349492931963358,38.865094200000385,39.70876010000029,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_AF_237_223_N.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.70876010000029,40.00679470000023,40.00679470000023,40.00679470000023,40.00679470000023,40.00679470000023,0.3077838000003794,53.51851851851852,0.9679324999997334,0.021296296296296296,-0.41388888888888886,1,0,0,NextBu,53.425925925925924,1.6737904000001436,0.8334390573660934,42.30865770000037,43.1451304000002,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_AF_245_143_N.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1451304000002,43.443549300000086,43.443549300000086,43.443549300000086,43.443549300000086,43.443549300000086,0.307450499999959,50.83333333333333,1.026443499999914,0.024074074074074074,-0.39351851851851855,1,0,0,NextBu,51.94444444444445,1.774549499999921,0.7005371130927157,45.742370200000096,46.45008540000026,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_AM_233_236_N.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.45008540000026,46.74882660000003,46.74882660000003,46.74882660000003,46.74882660000003,46.74882660000003,0.3076912999999877,53.51851851851852,0.9507159999998294,0.025925925925925925,-0.38425925925925924,1,0,0,NextBu,53.98148148148149,2.1573779000000286,0.8047472044970994,49.57380290000037,50.382586000000174,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_BF_214_308_N.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.382586000000174,50.67914689999998,50.67914689999998,50.67914689999998,50.67914689999998,50.67914689999998,0.3072366999999758,52.5,1.0643690000001698,0.02962962962962963,-0.38333333333333336,1,0,0,NextBu,55.27777777777778,1.9688073000002078,0.6309685413897401,53.54474879999998,54.17984569999999,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_BF_224_002_N.png,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.17984569999999,54.47800320000033,54.47800320000033,54.47800320000033,54.47800320000033,54.47800320000033,0.30736109999998007,53.148148148148145,1.9942925999998806,0.024074074074074074,-0.38981481481481484,1,0,0,NextBu,52.59259259259259,2.7271451000001434,0.5495369108478154,57.627909600000294,58.17943160000004,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_BM_213_134_N.png,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.17943160000004,58.477865900000324,58.477865900000324,58.477865900000324,58.477865900000324,58.477865900000324,0.30732750000015585,51.94444444444445,0.9696678999998767,0.011111111111111112,-0.4009259259259259,1,0,0,NextBu,51.388888888888886,1.6670486999996683,0.9445242380368014,60.52408170000035,61.47104480000007,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_BM_234_172_N.png,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.47104480000007,61.76952200000005,61.76952200000005,61.76952200000005,61.76952200000005,61.76952200000005,0.30770010000014736,53.61111111111111,0.9281626000001779,0.013888888888888888,-0.3962962962962963,1,0,0,NextBu,51.85185185185185,1.720141500000409,0.9896549118263152,64.04440350000004,65.04079950000005,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_LF_224_176_N.png,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.04079950000005,65.33918010000025,65.33918010000025,65.33918010000025,65.33918010000025,65.33918010000025,0.30763840000008713,52.22222222222223,1.0838232000000971,0.01574074074074074,-0.387037037037037,1,0,0,NextBu,52.5,2.1026326999999583,0.9199994467710082,67.85693730000003,68.78395350000028,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
images\FOREHEAD_CFD_LM_201_057_N.png,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.78395350000028,69.08082600000034,69.08082600000034,69.08082600000034,69.08082600000034,69.08082600000034,0.3071186000001944,52.68518518518519,0.9348901999996997,0.03518518518518519,-0.4111111111111111,1,0,0,NextBu,54.25925925925926,1.7617738000003555,0.6358455786363368,71.29452570000012,71.9357656000002,,,,,2023-04-07_21h41.11.904,FaceAttractiveness,2022.2.5,144.0189644174512,
