faceImages,faceImages_q,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,slider_trustworthy.response,slider_trustworthy.rt,slider_aggressive.response,slider_aggressive.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,ITI,text_2.started,text_2.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\FOREHEAD_CFD_LM_203_026_N.png,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_AF_237_223_N.png,,0,14,14,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_LM_201_057_N.png,,0,15,15,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_LM_201_057_N.png,,0,16,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_006_M_F_N_A.png,,0,17,17,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_LF_224_176_N.png,,0,18,18,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_LM_201_057_N.png,,0,19,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_035_M_F_N_A.png,,0,20,20,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_035_M_F_N_A.png,,0,21,21,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_WM_212_097_N.png,,0,22,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_BM_213_134_N.png,,0,23,23,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_BF_224_002_N.png,,0,24,24,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_AF_237_223_N.png,,0,25,25,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_LM_201_057_N.png,,0,26,26,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_AF_245_143_N.png,,0,27,27,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
