faceImages,faceImages_q,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,slider_trustworthy.response,slider_trustworthy.rt,slider_aggressive.response,slider_aggressive.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,ITI,text_2.started,text_2.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\LIP_CFD_AF_231_357_N.png,,0,74,74,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_AF_231_357_N.png,,0,75,75,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_136_M_M_N_A.png,,0,76,76,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_WF_002_004_N.png,,0,77,77,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_006_M_F_N_A.png,,0,78,78,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_AF_231_357_N.png,,0,79,79,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_LM_203_026_N.png,,0,80,80,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_WF_002_004_N.png,,0,81,81,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_LM_203_026_N.png,,0,82,82,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_LF_224_176_N.png,,0,83,83,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_035_M_F_N_A.png,,0,84,84,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_BM_234_172_N.png,,0,85,85,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_BF_224_002_N.png,,0,86,86,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_BM_213_134_N.png,,0,87,87,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_035_M_F_N_A.png,,0,88,88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_AM_233_236_N.png,,0,89,89,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_035_M_F_N_A.png,,0,90,90,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_WF_002_004_N.png,,0,91,91,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_BF_214_308_N.png,,0,92,92,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_AF_245_143_N.png,,0,93,93,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_087_M_M_N_A.png,,0,94,94,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
,images\FOREHEAD_CFD_BF_224_002_N.png,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88789369999904,14.182949199999712,14.182949199999712,14.182949199999712,14.182949199999712,14.182949199999712,0.30969790000017383,None,None,None,None,[0.004629629629629629],[-0.41203703703703703],[1],[0],[0],[1.9281685999994806],['Confirm'],0.8582331451909428,16.116229600000224,16.980818800000634,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
,images\FOREHEAD_CFD_BF_214_308_N.png,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.980818800000634,17.281599500000084,17.281599500000084,17.281599500000084,17.281599500000084,17.281599500000084,0.3101804000016273,3.0,4.541443400001299,3.0,5.064547699999821,"[-0.007407407407407408, 0.005555555555555556, -0.24722222222222223, -0.25277777777777777, -0.005555555555555556, 0.002777777777777778, 0.010185185185185186]","[-0.24074074074074073, -0.003703703703703704, -0.007407407407407408, -0.24074074074074073, 0.001851851851851852, -0.2564814814814815, -0.4185185185185185]","[1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.6138195000003179, 1.2009655000001658, 2.7310005000017554, 3.2076360000010027, 4.1530861999999615, 4.682822200000373, 5.716294400001061]",['Confirm'],0.8135745599161361,23.005363500000385,23.827901399999973,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.827901399999973,24.128750500000024,24.128750500000024,24.128750500000024,24.128750500000024,24.128750500000024,0.31005720000030124,,,,,,,,,,,,,,,,,,,,,,,
