faceImages,faceImages_q,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,slider_trustworthy.response,slider_trustworthy.rt,slider_aggressive.response,slider_aggressive.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,ITI,text_2.started,text_2.stopped,EndText.started,mouse_8.started,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\LIP_CFD_BF_214_308_N.png,,0,27,27,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_035_M_F_N_A.png,,0,28,28,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_035_M_F_N_A.png,,0,29,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_WF_250_167_N.png,,0,30,30,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_WF_250_167_N.png,,0,31,31,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_BM_213_134_N.png,,0,32,32,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_087_M_M_N_A.png,,0,33,33,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_AF_245_143_N.png,,0,34,34,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_BF_214_308_N.png,,0,35,35,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_WM_212_097_N.png,,0,36,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_BF_224_002_N.png,,0,37,37,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_WF_250_167_N.png,,0,38,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_LF_224_176_N.png,,0,39,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_LM_201_057_N.png,,0,40,40,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_WF_250_167_N.png,,0,41,41,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_LM_201_057_N.png,,0,42,42,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_AF_245_143_N.png,,0,43,43,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_BF_224_002_N.png,,0,44,44,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_LM_203_026_N.png,,0,45,45,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_AF_237_223_N.png,,0,46,46,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_006_M_F_N_A.png,,0,47,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_AF_245_143_N.png,,0,48,48,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_WM_212_097_N.png,,0,49,49,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_035_M_F_N_A.png,,0,50,50,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_BM_213_134_N.png,,0,51,51,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_WM_212_097_N.png,,0,52,52,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_BM_234_172_N.png,,0,53,53,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_087_M_M_N_A.png,,0,54,54,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_LM_201_057_N.png,,0,55,55,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_AF_245_143_N.png,,0,56,56,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_BM_234_172_N.png,,0,57,57,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_BM_213_134_N.png,,0,58,58,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_AF_231_357_N.png,,0,59,59,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_AF_237_223_N.png,,0,60,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_136_M_M_N_A.png,,0,61,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_087_M_M_N_A.png,,0,62,62,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_BF_224_002_N.png,,0,63,63,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_BF_224_002_N.png,,0,64,64,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_LM_201_057_N.png,,0,65,65,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_BM_234_172_N.png,,0,66,66,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_WF_250_167_N.png,,0,67,67,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_AF_237_223_N.png,,0,68,68,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_006_M_F_N_A.png,,0,69,69,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_WF_002_004_N.png,,0,70,70,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_AF_231_357_N.png,,0,71,71,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_AM_233_236_N.png,,0,72,72,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_WF_002_004_N.png,,0,73,73,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_AF_231_357_N.png,,0,74,74,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_LF_224_176_N.png,,0,75,75,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\NASALTIP_CFD_WF_200_099_N.png,,0,76,76,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_006_M_F_N_A.png,,0,77,77,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_AF_245_143_N.png,,0,78,78,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_WF_200_099_N.png,,0,79,79,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_WF_002_004_N.png,,0,80,80,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_035_M_F_N_A.png,,0,81,81,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_087_M_M_N_A.png,,0,82,82,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_CFD_AF_231_357_N.png,,0,83,83,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_087_M_M_N_A.png,,0,84,84,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_WF_200_099_N.png,,0,85,85,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_BF_214_308_N.png,,0,86,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_136_M_M_N_A.png,,0,87,87,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_WM_212_097_N.png,,0,88,88,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_WF_200_099_N.png,,0,89,89,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_AM_233_236_N.png,,0,90,90,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LIP_CFD_AF_237_223_N.png,,0,91,91,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\RCHEEK_CFD_AM_233_236_N.png,,0,92,92,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\FOREHEAD_CFD_LF_224_176_N.png,,0,93,93,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
images\LCHEEK_136_M_M_N_A.png,,0,94,94,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
,images\FOREHEAD_CFD_BF_214_308_N.png,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.018621999999596,11.31777300000067,11.31777300000067,11.31777300000067,11.31777300000067,11.31777300000067,0.3122452000006888,4.0,1.136131100000057,3.0,1.822017099999357,"[0.25925925925925924, -0.009259259259259259, 0.06296296296296296]","[0.000925925925925926, -0.24722222222222223, -0.4203703703703704]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.7368358000003354, 1.415020899999945, 3.6308244000010745]",['Confirm'],0.510881822891491,14.96040979999998,15.477684199999203,,,,,,,,,,,,,,2023-04-07_23h28.24.110,FaceAttractiveness,2022.2.5,144.6845081922331,
