faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,8.933761700000105,0.5004865999999311,[-0.04259259259259259],[0.019444444444444445],[1],[0],[0],[0.029439599999932398],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
,,,,,,,,,,,,,,9.504953900000146,9.504953900000146,9.504953900000146,9.504953900000146,9.504953900000146,0.001790199999959441,None,None,None,None,[0.6824074074074075],[-0.4009259259259259],[1],[0],[0],[5.364051699999891],['image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.842942499999936,0.5039317999999184,0.45,-0.14722222222222223,1,0,0,instrBlock,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.95007940000005,18.24112460000015,18.24112460000015,18.24112460000015,18.24112460000015,18.24112460000015,0.3075802999996995,49.81481481481482,1.622240800000327,0.013888888888888888,-0.38981481481481484,1,0,0,NextBu,51.66666666666667,2.5881272999999965,0.8995930897036558,25.47002599999996,26.371501099999932,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_035_M_F_N_A.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.371501099999932,26.670344800000294,26.670344800000294,26.670344800000294,26.670344800000294,26.670344800000294,0.30757900000025984,49.72222222222222,2.011760900000354,0.009259259259259259,-0.4,1,0,0,NextBu,50.0,2.8819029000001137,0.7588826631096486,30.115366500000164,30.87857380000014,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_087_M_M_N_A.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.87857380000014,31.17779180000025,31.17779180000025,31.17779180000025,31.17779180000025,31.17779180000025,0.3081640000000334,50.18518518518519,1.2759814000000915,0.007407407407407408,-0.39166666666666666,1,0,0,NextBu,51.57407407407407,2.0207900000000336,0.5799960049842489,33.661166500000036,34.247753900000134,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_136_M_M_N_A.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.247753900000134,34.54472729999998,34.54472729999998,34.54472729999998,34.54472729999998,34.54472729999998,0.3057205999998587,49.907407407407405,1.1602106999998796,-0.007407407407407408,-0.3962962962962963,1,0,0,NextBu,50.55555555555556,2.143679499999962,0.8505274063535788,37.542743299999984,38.401195500000085,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_CFD_AF_231_357_N.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.401195500000085,38.69752550000021,38.69752550000021,38.69752550000021,38.69752550000021,38.69752550000021,0.30653480000000854,50.0,1.1170251999997163,0.025925925925925925,-0.4064814814814815,1,0,0,NextBu,52.68518518518519,1.9326287999997476,0.6836675957621826,41.51484670000036,42.20533620000015,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_CFD_AF_237_223_N.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.20533620000015,42.50248499999998,42.50248499999998,42.50248499999998,42.50248499999998,42.50248499999998,0.3069018999999571,50.0,0.9953742000002421,-0.003703703703703704,-0.4064814814814815,1,0,0,NextBu,52.5,1.7062109000003147,0.9868538040082859,44.83731720000014,45.82977660000006,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
images\FOREHEAD_CFD_AF_245_143_N.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.82977660000006,46.128881099999944,46.128881099999944,46.128881099999944,46.128881099999944,46.128881099999944,0.308132999999998,50.83333333333333,1.0383176000000276,0.019444444444444445,-0.38796296296296295,1,0,0,NextBu,52.22222222222223,1.9583541000001787,0.5184088916195098,48.646918899999946,49.1702435000002,,,,,2023-04-07_21h30.13.341,FaceAttractiveness,2022.2.5,144.99225741327916,
