3.9855 	INFO 	Loaded monitor calibration from ['2021_12_01 18:33']
3.9933 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
5.3408 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0.09803922, 0.09803922, 0.09803922]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021AD7782DC0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021ADCFB7250>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.3409 	EXP 	window1: mouseVisible = True
5.3410 	EXP 	window1: mouseVisible = False
5.3410 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.3410 	EXP 	window1: recordFrameIntervals = False
5.4100 	EXP 	window1: recordFrameIntervals = True
5.4860 	EXP 	Screen (0) actual frame rate measured at 144.69Hz
5.4861 	EXP 	window1: recordFrameIntervals = False
7.2021 	INFO 	keyboard.Keyboard is using iohub backend.
7.2755 	EXP 	Created ques_instr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='ques_instr', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.2760 	EXP 	window1: mouseVisible = True
7.2795 	EXP 	window1: mouseVisible = True
7.3017 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3024 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3031 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3038 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3043 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3049 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3055 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3061 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3067 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3074 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3079 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3085 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3087 	DEBUG 	Uploading Texture Font fontname to graphics card
7.3145 	DEBUG 	Upload of Texture Font fontname complete
7.3305 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3308 	DEBUG 	Uploading Texture Font fontname to graphics card
7.3358 	DEBUG 	Upload of Texture Font fontname complete
7.3509 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3516 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3523 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3530 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3536 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3543 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3545 	DEBUG 	Uploading Texture Font fontname to graphics card
7.3593 	DEBUG 	Upload of Texture Font fontname complete
7.3744 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3747 	DEBUG 	Uploading Texture Font fontname to graphics card
7.3788 	DEBUG 	Upload of Texture Font fontname complete
7.3947 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3954 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
7.3956 	DEBUG 	Uploading Texture Font fontname to graphics card
7.4005 	DEBUG 	Upload of Texture Font fontname complete
7.4110 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Arial', granularity=0.0, labelColor=None, labelHeight=0.01, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='slider_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([0.1, 0.1]), startValue=3, style='scrollbar', styleTweaks=['labels45'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
7.4396 	EXP 	Created EndText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1, -1, -1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='EndText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.4488 	EXP 	slider_2: autoLog = True
7.4488 	EXP 	slider_2: markerPos = 3
7.4488 	EXP 	slider_2: styleTweaks = []
7.4488 	EXP 	slider_2: styleTweaks = []
