faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\FOREHEAD_CFD_AM_233_236_N.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.70052720000012,69.9979644,69.9979644,69.9979644,69.9979644,69.9979644,0.3065652999998747,74.81481481481481,1.3946975999997449,0.04259259259259259,-0.4027777777777778,1,0,0,NextBu,73.51851851851852,2.0504335999999057,0.8348575299084464,72.36509230000001,73.20829030000004,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_BF_214_308_N.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.20829030000004,73.5045712000001,73.5045712000001,73.5045712000001,73.5045712000001,73.5045712000001,0.3065134000003127,77.22222222222221,1.7359172999999828,0.04537037037037037,-0.38333333333333336,1,0,0,NextBu,76.75925925925927,2.5113780000001498,0.8596660084527943,76.34589060000008,77.20788290000019,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_BF_224_002_N.png,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.20788290000019,77.50551310000037,77.50551310000037,77.50551310000037,77.50551310000037,77.50551310000037,0.3075919000002614,76.94444444444444,1.0349063000003298,0.02962962962962963,-0.387037037037037,1,0,0,NextBu,77.03703703703704,1.6994518000001335,0.6613455399618917,81.01047319999998,81.67935750000015,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_BM_213_134_N.png,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.67935750000015,81.977398,81.977398,81.977398,81.977398,81.977398,0.3071368999999322,76.11111111111111,1.9729057999998076,0.07037037037037037,-0.38055555555555554,1,0,0,NextBu,76.11111111111111,2.7424098000001322,0.6581301920708581,84.92635860000019,85.58901640000022,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_BM_234_172_N.png,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.58901640000022,85.88695740000003,85.88695740000003,85.88695740000003,85.88695740000003,85.88695740000003,0.307349300000169,77.22222222222221,2.008832900000016,0.05,-0.3962962962962963,1,0,0,NextBu,78.14814814814814,2.7428311000003305,0.8383751023117672,88.91942319999998,89.7625008,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_LF_224_176_N.png,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.7625008,90.05983460000016,90.05983460000016,90.05983460000016,90.05983460000016,90.05983460000016,0.3065988999996989,77.5925925925926,1.3152113999999528,0.041666666666666664,-0.3768518518518518,1,0,0,NextBu,78.98148148148148,1.9123139000002993,0.5009903012786381,92.24595739999995,92.75503960000015,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_LM_201_057_N.png,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.75503960000015,93.04587010000023,93.04587010000023,93.04587010000023,93.04587010000023,93.04587010000023,0.30030500000020766,80.37037037037037,1.2934010000003582,0.03425925925925926,-0.4111111111111111,1,0,0,NextBu,79.62962962962963,2.0526334000001043,0.6931524760627232,95.39851410000028,96.0957797000001,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_LM_203_026_N.png,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0957797000001,96.39350790000026,96.39350790000026,96.39350790000026,96.39350790000026,96.39350790000026,0.30709150000029695,75.64814814814815,1.8488209000001916,0.05462962962962963,-0.412962962962963,1,0,0,NextBu,77.5925925925926,2.927076699999816,0.6356480833769438,99.81499380000014,100.45734020000009,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_WF_002_004_N.png,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.45734020000009,100.75451330000033,100.75451330000033,100.75451330000033,100.75451330000033,100.75451330000033,0.30713349999996353,77.03703703703704,1.6319339000001492,0.075,-0.3888888888888889,1,0,0,NextBu,78.98148148148148,2.3817707000002883,0.5240151731864078,103.48812300000009,104.02043249999997,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_WF_200_099_N.png,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.02043249999997,104.31616140000006,104.31616140000006,104.31616140000006,104.31616140000006,104.31616140000006,0.30648640000026717,76.20370370370371,1.886261099999956,0.05092592592592592,-0.38981481481481484,1,0,0,NextBu,77.96296296296296,2.6792688000000453,0.6865008465457538,107.36296380000022,108.05447960000038,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_WF_250_167_N.png,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.05447960000038,108.3515284,108.3515284,108.3515284,108.3515284,108.3515284,0.3066623999998228,78.51851851851852,2.4584851999998136,0.009259259259259259,-0.3712962962962963,1,0,0,NextBu,80.74074074074073,3.200578999999834,0.8306474840742986,111.83542570000009,112.67402660000016,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_WM_212_097_N.png,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.67402660000016,112.9633887,112.9633887,112.9633887,112.9633887,112.9633887,0.30123460000004343,78.51851851851852,1.7563156999999592,0.022222222222222223,-0.3925925925925926,1,0,0,NextBu,80.46296296296296,2.528711200000089,0.5008070261318197,115.89126250000027,116.40125699999999,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\LCHEEK_006_M_F_N_A.png,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.40125699999999,116.69855860000007,116.69855860000007,116.69855860000007,116.69855860000007,116.69855860000007,0.3071895000002769,78.33333333333333,2.6732798999996703,0.03888888888888889,-0.4148148148148148,1,0,0,NextBu,80.27777777777779,3.6240986999996494,0.5912608559707697,123.89066030000004,124.48398640000005,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\LCHEEK_035_M_F_N_A.png,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.48398640000005,124.78225380000003,124.78225380000003,124.78225380000003,124.78225380000003,124.78225380000003,0.3075533999999607,74.62962962962962,1.0521867000002203,0.04722222222222222,-0.40555555555555556,1,0,0,NextBu,77.03703703703704,2.1595139999999446,0.604895316843581,128.09488910000027,128.70550380000032,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\LCHEEK_087_M_M_N_A.png,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.70550380000032,128.99732100000028,128.99732100000028,128.99732100000028,128.99732100000028,128.99732100000028,0.3013977000000523,76.66666666666666,2.0390283000001546,0.04722222222222222,-0.38333333333333336,1,0,0,NextBu,78.7962962962963,2.952099200000248,0.8042205929174293,132.25167230000034,,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
