faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,14.709552300000269,0.5037345999999161,[-0.1537037037037037],[0.058333333333333334],[1],[0],[0],[5.159984499999609],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
,,,,,,,,,,,,,,20.415299700000105,20.415299700000105,20.415299700000105,20.415299700000105,20.415299700000105,0.0013265000002320448,2.992592592592593,4.544951899999887,None,None,"[-0.001851851851851852, 0.6601851851851852]","[0.10740740740740741, -0.3962962962962963]","[1, 1]","[0, 0]","[0, 0]","[4.446120300000075, 5.917467599999782]",['image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.305091300000186,0.5024586000004092,0.08796296296296297,0.04537037037037037,1,0,0,instrBlock,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.535910400000375,37.82727250000016,37.82727250000016,37.82727250000016,37.82727250000016,37.82727250000016,0.3084045000000515,74.9074074074074,3.0819086999999854,0.012962962962962963,-0.3990740740740741,1,0,0,NextBu,75.0,6.2963856000001215,0.6110443897024884,44.84756000000016,45.46463300000005,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_035_M_F_N_A.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.46463300000005,45.76288270000032,45.76288270000032,45.76288270000032,45.76288270000032,45.76288270000032,0.30746129999988625,75.27777777777777,1.6309613000003083,0.05462962962962963,-0.39166666666666666,1,0,0,NextBu,74.72222222222223,2.422451599999931,0.9472365519398811,48.4159966000002,49.36683140000014,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_087_M_M_N_A.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.36683140000014,49.664547500000026,49.664547500000026,49.664547500000026,49.664547500000026,49.664547500000026,0.3063477000000603,74.35185185185185,1.7336983999998665,0.049074074074074076,-0.3787037037037037,1,0,0,NextBu,74.9074074074074,2.6380300000000716,0.8514920982537098,52.72563910000008,53.582084099999975,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_136_M_M_N_A.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.582084099999975,53.88016430000016,53.88016430000016,53.88016430000016,53.88016430000016,53.88016430000016,0.30656619999990653,75.18518518518518,1.772720400000253,0.024074074074074074,-0.38796296296296295,1,0,0,NextBu,74.44444444444444,2.6772977000000537,0.5109828370097602,57.044886600000154,57.563373700000284,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_AF_231_357_N.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.563373700000284,57.858960300000035,57.858960300000035,57.858960300000035,57.858960300000035,57.858960300000035,0.30625400000008085,76.29629629629629,1.696649499999694,0.06944444444444445,-0.39444444444444443,1,0,0,NextBu,76.85185185185186,2.6238430999997036,0.6734012562062501,60.774032700000134,61.45076850000032,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_AF_237_223_N.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.45076850000032,61.747917900000175,61.747917900000175,61.747917900000175,61.747917900000175,61.747917900000175,0.3064816000000974,76.01851851851852,2.0331326999998964,0.046296296296296294,-0.40185185185185185,1,0,0,NextBu,74.9074074074074,2.8442127999996956,0.6949799126151094,64.86013420000018,65.56132830000024,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
images\FOREHEAD_CFD_AF_245_143_N.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.56132830000024,65.85291510000025,65.85291510000025,65.85291510000025,65.85291510000025,65.85291510000025,0.30090870000003633,77.12962962962963,1.4948430999997981,0.03796296296296296,-0.39351851851851855,1,0,0,NextBu,76.29629629629629,2.6661589999998796,0.8446983548879425,68.8506695000001,69.70052720000012,,,,,2023-04-07_21h21.29.960,FaceAttractiveness,2022.2.5,145.17749400448426,
