faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,faceImages_q,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\NASALTIP_CFD_LM_203_026_N.png,0,61,61,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.3333733999998,290.6316310000002,290.6316310000002,290.6316310000002,290.6316310000002,290.6316310000002,0.30760689999988244,44.62962962962963,0.7508718999997654,-0.037037037037037035,-0.425,1,0,0,NextBu,53.148148148148145,1.2900799999997616,0.8246094491925817,291.9209299000004,292.74939650000033,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\NASALTIP_CFD_AF_231_357_N.png,0,62,62,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.74939650000033,293.0479280999998,293.0479280999998,293.0479280999998,293.0479280999998,293.0479280999998,0.30727329999990616,58.611111111111114,0.8372867000007318,0.007407407407407408,-0.40185185185185185,1,0,0,NextBu,51.2962962962963,1.553054400000292,0.8819788129957872,294.5524150000001,295.43729950000034,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LIP_CFD_BM_213_134_N.png,0,63,63,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.43729950000034,295.7358595000005,295.7358595000005,295.7358595000005,295.7358595000005,295.7358595000005,0.3075619999999617,62.40740740740741,0.9620964999994612,-0.02962962962962963,-0.39351851851851855,1,0,0,NextBu,37.68518518518519,1.6796237999997174,0.5565052989561654,297.43455110000014,297.99286930000017,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LCHEEK_CFD_LM_203_026_N.png,0,64,64,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.99286930000017,298.29116200000044,298.29116200000044,298.29116200000044,298.29116200000044,298.29116200000044,0.3074986000001445,52.22222222222223,0.8696669000000838,0.012037037037037037,-0.40925925925925927,1,0,0,NextBu,53.24074074074075,1.4636010000003807,0.7334621371425586,299.73437809999996,300.4715326000005,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LIP_CFD_AM_233_236_N.png,0,65,65,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.4715326000005,300.7708511999999,300.7708511999999,300.7708511999999,300.7708511999999,300.7708511999999,0.30841770000006363,56.481481481481474,1.061908300000141,-0.023148148148148147,-0.4027777777777778,1,0,0,NextBu,43.425925925925924,1.7923122000001968,0.7229299202793185,302.6839791000002,303.4114559999998,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\FOREHEAD_CFD_BF_214_308_N.png,0,66,66,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.4114559999998,303.7076547000006,303.7076547000006,303.7076547000006,303.7076547000006,303.7076547000006,0.30687680000028195,58.333333333333336,1.2880606999997326,-0.014814814814814815,-0.40185185185185185,1,0,0,NextBu,54.25925925925926,1.9387945000007676,0.9841777191594205,305.6077608000005,306.5985737000001,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\FOREHEAD_136_M_M_N_A.png,0,67,67,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.5985737000001,306.8947655000002,306.8947655000002,306.8947655000002,306.8947655000002,306.8947655000002,0.3065353000001778,52.68518518518519,1.0776777000000948,-0.016666666666666666,-0.375,1,0,0,NextBu,46.2962962962963,1.6426836000000549,0.9728709442849692,308.5450050999998,309.51996130000043,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LIP_CFD_BF_214_308_N.png,0,68,68,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.51996130000043,309.8184344000001,309.8184344000001,309.8184344000001,309.8184344000001,309.8184344000001,0.307354800000212,45.46296296296296,0.8011816999996881,0.001851851851851852,-0.4222222222222222,1,0,0,NextBu,46.48148148148148,1.4207864999998492,0.8907731604769603,311.21979360000023,312.11886779999986,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\LIP_CFD_WF_002_004_N.png,0,69,69,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.11886779999986,312.4162978000004,312.4162978000004,312.4162978000004,312.4162978000004,312.4162978000004,0.30807780000031926,50.27777777777778,0.8663796999999249,-0.03888888888888889,-0.40370370370370373,1,0,0,NextBu,43.611111111111114,1.801060900000266,0.998336871837458,314.23959600000035,315.2433565000001,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
images\RCHEEK_CFD_BF_224_002_N.png,0,70,70,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.2433565000001,315.5409395000006,315.5409395000006,315.5409395000006,315.5409395000006,315.5409395000006,0.3066711999999825,54.25925925925926,0.7753625999994256,-0.005555555555555556,-0.38425925925925924,1,0,0,NextBu,53.703703703703695,1.3805609999999433,0.9816638100628843,316.9273645000003,317.9157517000003,,,,,,,,,,,,2023-04-07_22h16.13.324,FaceAttractiveness,2022.2.5,143.1764262881825,
