faceImages,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image.started,slider_treatment_surgery.started,NextBu.started,slider_treatment_radiation.started,text_treatment_surgery.started,text_treatment_radiation.started,mouse_5.started,slider_treatment_surgery.response,slider_treatment_surgery.rt,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,slider_treatment_radiation.response,slider_treatment_radiation.rt,ITI,text.started,text.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,8.852230700000291,0.5000602000000072,[-0.15],[0.11018518518518519],[1],[0],[0],[0.5143106000004991],['ques_instr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
,,,,,,,,,,,,,,9.908539000000019,9.908539000000019,9.908539000000019,9.908539000000019,9.908539000000019,0.0012834999997721752,2.4,0.13437640000029205,None,None,[0.6592592592592592],[-0.3731481481481482],[1],[0],[0],[4.250950799999373],['image'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.132578900000226,0.5015400000002046,-0.16018518518518518,0.07037037037037037,1,0,0,instrBlock,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_006_M_F_N_A.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.223210799999833,15.514121799999884,15.514121799999884,15.514121799999884,15.514121799999884,15.514121799999884,0.3085066999992705,39.07407407407407,1.3662924000000203,0.016666666666666666,-0.40925925925925927,1,0,0,NextBu,55.55555555555556,2.156227999999828,0.8912575966673106,17.97964090000005,18.87355910000042,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_035_M_F_N_A.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.87355910000042,19.17300940000041,19.17300940000041,19.17300940000041,19.17300940000041,19.17300940000041,0.3083114999999452,47.592592592592595,0.7117636000002676,0.004629629629629629,-0.4064814814814815,1,0,0,NextBu,58.98148148148148,1.7003955999998652,0.7606889503479899,20.95417009999983,21.720952200000283,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_087_M_M_N_A.png,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.720952200000283,22.020275400000173,22.020275400000173,22.020275400000173,22.020275400000173,22.020275400000173,0.308187600000565,48.7962962962963,0.7268508000006477,0.000925925925925926,-0.4083333333333333,1,0,0,NextBu,57.12962962962963,1.3797451000000365,0.6434474289407675,23.54472650000025,24.192609099999572,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_136_M_M_N_A.png,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.192609099999572,24.491548599999987,24.491548599999987,24.491548599999987,24.491548599999987,24.491548599999987,0.3074429999996937,50.09259259259259,0.9580945999996402,0.03981481481481482,-0.412962962962963,1,0,0,NextBu,55.46296296296296,1.4923662999999578,0.7818842515206318,26.12095330000011,26.909767199999806,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_CFD_AF_231_357_N.png,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.909767199999806,27.207432700000027,27.207432700000027,27.207432700000027,27.207432700000027,27.207432700000027,0.29903550000017276,52.77777777777778,0.9369185999994443,0.04537037037037037,-0.4046296296296296,1,0,0,NextBu,55.925925925925924,1.8720262000006187,0.6317128000001582,29.211624599999595,29.846059700000296,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_CFD_AF_237_223_N.png,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.846059700000296,30.13773669999955,30.13773669999955,30.13773669999955,30.13773669999955,30.13773669999955,0.30103950000011537,53.425925925925924,0.9384715999995024,0.03425925925925926,-0.3962962962962963,1,0,0,NextBu,60.0,1.5854638000000705,0.8567996187029863,31.88289470000018,32.74160099999972,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_CFD_AF_245_143_N.png,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.74160099999972,33.04023890000008,33.04023890000008,33.04023890000008,33.04023890000008,33.04023890000008,0.3080038999996759,48.888888888888886,1.135628999999426,0.006481481481481481,-0.39537037037037037,1,0,0,NextBu,58.05555555555556,1.7621665999995457,0.8041358523727835,34.89136849999977,35.69942379999975,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_CFD_AM_233_236_N.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69942379999975,35.9936759000002,35.9936759000002,35.9936759000002,35.9936759000002,35.9936759000002,0.3031497000001764,46.85185185185185,1.0773503999998866,0.014814814814814815,-0.37037037037037035,1,0,0,NextBu,60.18518518518518,1.6974120000004405,0.9010581147858665,37.86395040000025,38.77167610000015,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
images\FOREHEAD_CFD_BF_214_308_N.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.77167610000015,39.06864419999965,39.06864419999965,39.06864419999965,39.06864419999965,39.06864419999965,0.30797100000017963,47.22222222222222,1.0267585999999937,0.003703703703703704,-0.41203703703703703,1,0,0,NextBu,60.55555555555555,1.7756703000004563,0.7249584716186996,40.98393049999959,41.714092000000164,,,,,2023-04-07_21h51.21.854,FaceAttractiveness,2022.2.5,140.22157813774626,
