10.8790 	EXP 	slider_2: markerPos = 3.0444444444444443
10.8873 	EXP 	slider_2: markerPos = 3.0444444444444443
10.8971 	EXP 	slider_2: markerPos = 3.0444444444444443
10.9064 	EXP 	slider_2: markerPos = 3.0444444444444443
10.9149 	EXP 	slider_2: markerPos = 3.0444444444444443
10.9266 	EXP 	slider_2: markerPos = 3.0444444444444443
10.9354 	EXP 	slider_2: markerPos = 3.0444444444444443
10.9361 	DATA 	Mouse:  Left button up, pos=(972,552)
10.9426 	EXP 	slider_2: markerPos = 3.0444444444444443
12.3012 	DATA 	Mouse: Left button down, pos=(974,546)
12.3097 	EXP 	slider_2: markerPos = 3.051851851851852
12.3209 	EXP 	slider_2: markerPos = 3.051851851851852
12.3311 	EXP 	slider_2: markerPos = 3.051851851851852
12.3380 	EXP 	slider_2: markerPos = 3.0444444444444443
12.3486 	EXP 	slider_2: markerPos = 3.0296296296296297
12.3575 	EXP 	slider_2: markerPos = 3.0185185185185186
12.3662 	EXP 	slider_2: markerPos = 3.0
12.3735 	EXP 	slider_2: markerPos = 2.9814814814814814
12.3837 	EXP 	slider_2: markerPos = 2.9555555555555557
12.3938 	EXP 	slider_2: markerPos = 2.9407407407407407
12.4058 	EXP 	slider_2: markerPos = 2.8851851851851853
12.4139 	EXP 	slider_2: markerPos = 2.8740740740740742
12.4213 	EXP 	slider_2: markerPos = 2.8555555555555556
12.4319 	EXP 	slider_2: markerPos = 2.837037037037037
12.4423 	EXP 	slider_2: markerPos = 2.8074074074074074
12.4496 	EXP 	slider_2: markerPos = 2.7962962962962963
12.4600 	EXP 	slider_2: markerPos = 2.7777777777777777
12.4697 	EXP 	slider_2: markerPos = 2.774074074074074
12.4769 	EXP 	slider_2: markerPos = 2.7481481481481485
12.4891 	EXP 	slider_2: markerPos = 2.7444444444444445
12.4981 	EXP 	slider_2: markerPos = 2.725925925925926
12.5055 	EXP 	slider_2: markerPos = 2.7
12.5167 	EXP 	slider_2: markerPos = 2.6925925925925926
12.5258 	EXP 	slider_2: markerPos = 2.688888888888889
12.5369 	EXP 	slider_2: markerPos = 2.6703703703703705
12.5473 	EXP 	slider_2: markerPos = 2.6555555555555554
12.5573 	EXP 	slider_2: markerPos = 2.640740740740741
12.5700 	EXP 	slider_2: markerPos = 2.6296296296296298
12.5793 	EXP 	slider_2: markerPos = 2.6074074074074076
12.5896 	EXP 	slider_2: markerPos = 2.5962962962962965
12.5988 	EXP 	slider_2: markerPos = 2.588888888888889
12.6076 	EXP 	slider_2: markerPos = 2.5777777777777775
12.6174 	EXP 	slider_2: markerPos = 2.5703703703703704
12.6267 	EXP 	slider_2: markerPos = 2.562962962962963
12.6366 	EXP 	slider_2: markerPos = 2.5407407407407407
12.6443 	EXP 	slider_2: markerPos = 2.5296296296296297
12.6555 	EXP 	slider_2: markerPos = 2.525925925925926
12.6643 	EXP 	slider_2: markerPos = 2.514814814814815
12.6714 	EXP 	slider_2: markerPos = 2.4925925925925925
12.6823 	EXP 	slider_2: markerPos = 2.477777777777778
12.6909 	EXP 	slider_2: markerPos = 2.4555555555555557
12.7004 	EXP 	slider_2: markerPos = 2.448148148148148
12.7113 	EXP 	slider_2: markerPos = 2.4185185185185185
12.7199 	EXP 	slider_2: markerPos = 2.4074074074074074
12.7267 	EXP 	slider_2: markerPos = 2.4
12.7377 	EXP 	slider_2: markerPos = 2.3851851851851853
12.7464 	EXP 	slider_2: markerPos = 2.3740740740740742
12.7555 	EXP 	slider_2: markerPos = 2.351851851851852
12.7628 	EXP 	slider_2: markerPos = 2.3185185185185184
12.7731 	EXP 	slider_2: markerPos = 2.3074074074074074
12.7833 	EXP 	slider_2: markerPos = 2.2925925925925927
12.7922 	EXP 	slider_2: markerPos = 2.2814814814814817
12.8014 	EXP 	slider_2: markerPos = 2.2703703703703706
12.8096 	EXP 	slider_2: markerPos = 2.2555555555555555
12.8168 	EXP 	slider_2: markerPos = 2.2407407407407405
12.8288 	EXP 	slider_2: markerPos = 2.2333333333333334
12.8396 	EXP 	slider_2: markerPos = 2.2037037037037037
12.8484 	EXP 	slider_2: markerPos = 2.1925925925925926
12.8584 	EXP 	slider_2: markerPos = 2.1814814814814816
12.8654 	EXP 	slider_2: markerPos = 2.151851851851852
12.8767 	EXP 	slider_2: markerPos = 2.137037037037037
12.8860 	EXP 	slider_2: markerPos = 2.1222222222222222
12.8938 	EXP 	slider_2: markerPos = 2.1148148148148147
12.9044 	EXP 	slider_2: markerPos = 2.111111111111111
12.9131 	EXP 	slider_2: markerPos = 2.1074074074074076
12.9216 	EXP 	slider_2: markerPos = 2.1
12.9286 	EXP 	slider_2: markerPos = 2.1
12.9411 	EXP 	slider_2: markerPos = 2.088888888888889
12.9498 	EXP 	slider_2: markerPos = 2.074074074074074
12.9611 	EXP 	slider_2: markerPos = 2.0592592592592593
12.9695 	EXP 	slider_2: markerPos = 2.0555555555555554
12.9767 	EXP 	slider_2: markerPos = 2.051851851851852
12.9871 	EXP 	slider_2: markerPos = 2.0444444444444443
12.9959 	EXP 	slider_2: markerPos = 2.0407407407407407
13.0039 	EXP 	slider_2: markerPos = 2.0407407407407407
13.0132 	EXP 	slider_2: markerPos = 2.037037037037037
13.0222 	EXP 	slider_2: markerPos = 2.0296296296296297
13.0317 	EXP 	slider_2: markerPos = 2.025925925925926
13.0406 	EXP 	slider_2: markerPos = 2.0185185185185186
13.0496 	EXP 	slider_2: markerPos = 2.0074074074074075
13.0587 	EXP 	slider_2: markerPos = 1.988888888888889
13.0669 	EXP 	slider_2: markerPos = 1.9814814814814814
13.0740 	EXP 	slider_2: markerPos = 1.974074074074074
13.0854 	EXP 	slider_2: markerPos = 1.9666666666666666
13.0946 	EXP 	slider_2: markerPos = 1.9592592592592593
13.1016 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1122 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1211 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1294 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1370 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1503 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1588 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1697 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1775 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1863 	EXP 	slider_2: markerPos = 1.9555555555555555
13.1949 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2047 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2126 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2201 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2306 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2390 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2470 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2566 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2654 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2739 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2823 	EXP 	slider_2: markerPos = 1.9555555555555555
13.2897 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3004 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3097 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3170 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3280 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3365 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3459 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3576 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3660 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3729 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3829 	EXP 	slider_2: markerPos = 1.9555555555555555
13.3931 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4002 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4107 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4201 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4292 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4381 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4478 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4566 	EXP 	slider_2: markerPos = 1.9555555555555555
13.4642 	EXP 	slider_2: markerPos = 1.9592592592592593
13.4744 	EXP 	slider_2: markerPos = 1.9592592592592593
13.4828 	EXP 	slider_2: markerPos = 1.962962962962963
13.4912 	EXP 	slider_2: markerPos = 1.962962962962963
13.4986 	EXP 	slider_2: markerPos = 1.962962962962963
13.5091 	EXP 	slider_2: markerPos = 1.962962962962963
13.5174 	EXP 	slider_2: markerPos = 1.962962962962963
13.5262 	EXP 	slider_2: markerPos = 1.962962962962963
13.5358 	EXP 	slider_2: markerPos = 1.9666666666666666
13.5473 	EXP 	slider_2: markerPos = 1.9703703703703703
13.5567 	EXP 	slider_2: markerPos = 1.974074074074074
13.5657 	EXP 	slider_2: markerPos = 1.9777777777777779
13.5749 	EXP 	slider_2: markerPos = 1.9777777777777779
13.5823 	EXP 	slider_2: markerPos = 1.9814814814814814
13.5929 	EXP 	slider_2: markerPos = 1.9814814814814814
13.6021 	EXP 	slider_2: markerPos = 1.9851851851851852
13.6142 	EXP 	slider_2: markerPos = 1.9851851851851852
13.6241 	EXP 	slider_2: markerPos = 1.988888888888889
13.6331 	EXP 	slider_2: markerPos = 1.988888888888889
13.6434 	EXP 	slider_2: markerPos = 1.988888888888889
13.6507 	EXP 	slider_2: markerPos = 1.988888888888889
13.6610 	EXP 	slider_2: markerPos = 1.988888888888889
13.6695 	EXP 	slider_2: markerPos = 1.988888888888889
13.6770 	EXP 	slider_2: markerPos = 1.988888888888889
13.6869 	EXP 	slider_2: markerPos = 1.988888888888889
13.6976 	EXP 	slider_2: markerPos = 1.988888888888889
13.7060 	EXP 	slider_2: markerPos = 1.988888888888889
13.7178 	EXP 	slider_2: markerPos = 1.988888888888889
13.7268 	EXP 	slider_2: markerPos = 1.988888888888889
13.7387 	EXP 	slider_2: markerPos = 1.988888888888889
13.7469 	EXP 	slider_2: markerPos = 1.988888888888889
13.7541 	EXP 	slider_2: markerPos = 1.988888888888889
13.7653 	EXP 	slider_2: markerPos = 1.988888888888889
13.7738 	EXP 	slider_2: markerPos = 1.988888888888889
13.7827 	EXP 	slider_2: markerPos = 1.988888888888889
13.7948 	EXP 	slider_2: markerPos = 1.988888888888889
13.8032 	EXP 	slider_2: markerPos = 1.9851851851851852
13.8105 	EXP 	slider_2: markerPos = 1.9666666666666666
13.8211 	EXP 	slider_2: markerPos = 1.9407407407407407
13.8304 	EXP 	slider_2: markerPos = 1.9222222222222223
13.8433 	EXP 	slider_2: markerPos = 1.8777777777777778
13.8517 	EXP 	slider_2: markerPos = 1.7851851851851852
13.8587 	EXP 	slider_2: markerPos = 1.7037037037037037
13.8701 	EXP 	slider_2: markerPos = 1.651851851851852
13.8786 	EXP 	slider_2: markerPos = 1.6222222222222222
13.8886 	EXP 	slider_2: markerPos = 1.6185185185185185
13.8979 	EXP 	slider_2: markerPos = 1.6185185185185185
13.9066 	EXP 	slider_2: markerPos = 1.6185185185185185
13.9154 	EXP 	slider_2: markerPos = 1.6185185185185185
13.9247 	EXP 	slider_2: markerPos = 1.6111111111111112
13.9345 	EXP 	slider_2: markerPos = 1.6074074074074074
13.9428 	EXP 	slider_2: markerPos = 1.6
13.9517 	EXP 	slider_2: markerPos = 1.5888888888888888
13.9611 	EXP 	slider_2: markerPos = 1.5851851851851853
13.9698 	EXP 	slider_2: markerPos = 1.5777777777777777
13.9770 	EXP 	slider_2: markerPos = 1.5740740740740742
13.9880 	EXP 	slider_2: markerPos = 1.5703703703703704
13.9967 	EXP 	slider_2: markerPos = 1.5555555555555556
14.0063 	EXP 	slider_2: markerPos = 1.548148148148148
14.0155 	EXP 	slider_2: markerPos = 1.5185185185185186
14.0241 	EXP 	slider_2: markerPos = 1.462962962962963
14.0325 	EXP 	slider_2: markerPos = 1.4185185185185185
14.0421 	EXP 	slider_2: markerPos = 1.3555555555555556
14.0515 	EXP 	slider_2: markerPos = 1.2407407407407407
14.0595 	EXP 	slider_2: markerPos = 1.2074074074074075
14.0665 	EXP 	slider_2: markerPos = 1.1703703703703703
14.0781 	EXP 	slider_2: markerPos = 1.1555555555555554
14.0867 	EXP 	slider_2: markerPos = 1.1481481481481481
14.0954 	EXP 	slider_2: markerPos = 1.1407407407407408
14.1030 	EXP 	slider_2: markerPos = 1.137037037037037
14.1133 	EXP 	slider_2: markerPos = 1.1333333333333333
14.1224 	EXP 	slider_2: markerPos = 1.125925925925926
14.1304 	EXP 	slider_2: markerPos = 1.1185185185185185
14.1410 	EXP 	slider_2: markerPos = 1.1111111111111112
14.1517 	EXP 	slider_2: markerPos = 1.1
14.1612 	EXP 	slider_2: markerPos = 1.0925925925925926
14.1697 	EXP 	slider_2: markerPos = 1.0851851851851853
14.1786 	EXP 	slider_2: markerPos = 1.0814814814814815
14.1859 	EXP 	slider_2: markerPos = 1.0740740740740742
14.1964 	EXP 	slider_2: markerPos = 1.0592592592592593
14.2051 	EXP 	slider_2: markerPos = 1.048148148148148
14.2140 	EXP 	slider_2: markerPos = 1.025925925925926
14.2251 	EXP 	slider_2: markerPos = 1.011111111111111
14.2335 	EXP 	slider_2: markerPos = 0.9925925925925925
14.2405 	EXP 	slider_2: markerPos = 0.9777777777777779
14.2513 	EXP 	slider_2: markerPos = 0.9703703703703703
14.2602 	EXP 	slider_2: markerPos = 0.9629629629629628
14.2691 	EXP 	slider_2: markerPos = 0.9555555555555557
14.2766 	EXP 	slider_2: markerPos = 0.9555555555555557
14.2874 	EXP 	slider_2: markerPos = 0.9555555555555557
14.2955 	EXP 	slider_2: markerPos = 0.9555555555555557
14.3044 	EXP 	slider_2: markerPos = 0.9555555555555557
14.3155 	EXP 	slider_2: markerPos = 0.9555555555555557
